Word,POS
بحث,NN
لاہور,PN
پیغام,NN
دفعہ,NN
پتا,NN
فرق,NN
اظہار,NN
محمد,NN
کافی,ADJ
پوچھا,VB
مرتبہ,NN
انتظار,NN
پڑے,AA
ترجمہ,NN
طریقہ,NN
اعلان,NN
تلاش,NN
لینے,VB
بہترین,ADJ
کردار,NN
زمرہ,NN
جلد,ADV
روایت,NN
نیا,ADJ
سلسلے,NN
تعالیٰ,NN
حملہ,NN
فوجی,NN
سن,VB
اعظم,NN
گزشتہ,ADJ
نماز,NN
انھوں,NN
انگریزی,PN
شریف,ADJ
امن,NN
ممالک,NN
سکیں,AA
مقام,NN
ای,PN
ماں,NN
نقصان,NN
راہ,NN
اضافہ,NN
چائے,NN
شدت,NN
عالمی,ADJ
باعث,NN
علی,NN
پڑھنے,VB
فائدہ,NN
علاقوں,NN
محفل,PN
مین,PN
دیکھنے,VB
فراہم,ADJ
دہشت,NN
دار,NN
واقعہ,NN
خواتین,NN
سیاست,NN
ترقی,NN
موت,NN
رسول,PN
سخت,ADJ
شاعر,NN
مسائل,NN
عمران,NN
لکھنے,VB
فیصد,NN
سمجھ,NN
تحریک,NN
حسن,NN
انسانی,ADJ
آنکھوں,NN
سنا,VB
ڈال,VB
اہل,ADJ
ملاقات,NN
در,SC
رضی,PN
بڑھ,VB
پروگرام,NN
غلطی,NN
حالت,NN
بنیاد,NN
میل,U
مثال,NN
ھے,AA
بھیا,VB
سارا,ADJ
پورے,ADJ
دیکھتے,VB
بھلا,ADJ
سچ,NN
صفحہ,NN
تصاویر,NN
ٹیسٹ,NN
ملی,VB
ذہن,NN
کھا,VB
میڈیا,NN
غور,NN
نظم,NN
اثر,NN
الزام,NN
حاضر,ADJ
کھانا,NN
خواب,NN
لڑیاں,NN
کافی,Q
رسول,NN
مسجد,NN
دیکھیں,VB
سرکاری,ADJ
نامہ,NN
بیٹھے,VB
جان,NN
چھوٹے,ADJ
بھائی,VB
مار,VB
آسان,ADJ
مشہور,ADJ
کہتا,VB
روشنی,NN
سزا,NN
سائٹ,NN
گفتگو,NN
داری,NN
شک,NN
سلسلہ,NN
اکرم,PN
عرب,PN
سمجھا,VB
توجہ,NN
ایمان,NN
جانا,VB
محفوظ,ADJ
داخل,NN
شکار,NN
جانتے,VB
کتنے,Q
این,PN
رپورٹ,NN
خون,NN
فائل,NN
کرنی,VB
باتوں,NN
کھیل,NN
واقعات,NN
زبردست,ADJ
بھول,VB
بجلی,NN
صاف,ADJ
معاملہ,NN
شکل,NN
ہاتھوں,NN
کمی,NN
سوچ,VB
ادب,NN
غالب,ADJ
کامیاب,ADJ
جلدی,NN
ذاتی,ADJ
دھاگے,NN
مذہب,NN
زور,NN
گئیں,AA
پہنچا,VB
اٹھا,VB
اُس,PD
لنک,PN
سوچ,NN
مسلمان,PN
اندازہ,NN
عرض,NN
تبدیل,NN
انتخاب,NN
میاں,NN
زمانے,NN
بنائے,VB
معاملے,NN
قدم,NN
لیگ,PN
جانا,AA
جمع,ADJ
کہانی,NN
مقابلے,NN
نکال,VB
شکر,NN
بین,NN
ساری,Q
بھائی,ADJ
تعارف,NN
افغانستان,NN
پڑھا,VB
سمجھتے,VB
ادارے,NN
سید,NN
نیٹ,PN
عمدہ,ADJ
فرمائے,VB
مسلمان,NN
گاڑی,NN
صحت,NN
انھیں,PP
کرکٹ,NN
بنے,VB
غم,NN
مقامی,ADJ
خراب,ADJ
برس,NN
کمپیوٹر,NN
سابق,ADJ
درخواست,NN
کتنی,Q
ٹیگ,PN
درد,NN
آخر,NN
روپے,NN
موجودہ,ADJ
آزاد,ADJ
ہوجائے,VB
شائع,ADJ
مرد,NN
سبب,NN
آزادی,NN
معنی,NN
من,U
آخر,ADJ
شوق,NN
ایران,PN
کھانے,NN
بنیادی,ADJ
دکھائی,VB
گر,VB
چھوٹی,ADJ
بتائیں,VB
احساس,NN
لیئے,ADV
مذہبی,ADJ
منظر,NN
کورٹ,PN
شمار,NN
کھلاڑی,NN
پڑ,AA
حکام,NN
بیوی,NN
آیت,NN
باپ,NN
بدل,VB
ملنے,VB
ہوگیا,VB
ملتا,VB
گل,NN
بیٹھ,VB
پچھلے,ADJ
انکار,NN
دم,NN
زخمی,ADJ
عید,NN
دوستوں,NN
خط,NN
لکھی,VB
حضور,PN
پڑی,AA
چاہتا,AA
کمال,NN
اگلے,ADJ
لڑکی,NN
حیثیت,NN
تبدیلی,NN
افسوس,NN
خدمت,NN
عرصہ,NN
کریم,NN
انصاف,NN
میدان,NN
کتب,NN
بہ,P
الدین,PN
ہندوستان,PN
بہن,NN
کیسی,AKP
تحقیق,NN
بھیا,PN
عالم,NN
حقوق,NN
آگ,NN
شدہ,ADJ
نتیجہ,NN
معاشرے,NN
سربراہ,NN
عجیب,ADJ
چین,PN
درجہ,NN
گرد,NN
تبصرہ,NN
وسلم,NN
سکیورٹی,NN
گردی,NN
تھوڑی,Q
رکن,NN
محفوظات,NN
چاند,NN
مناسب,ADJ
گزر,VB
عقل,NN
رب,NN
بلند,ADJ
ابو,PN
تعریف,NN
وجود,NN
پائے,VB
مال,NN
زمانہ,NN
اِس,PD
یو,PN
چنانچہ,SC
شکست,NN
سوچا,VB
محنت,NN
لوں,VB
کھڑے,ADJ
ووٹ,NN
حیرت,NN
مصروف,ADJ
پا,VB
تقریباً,ADV
ترین,ADJ
درج,ADJ
آنکھیں,NN
اختلاف,NN
رکھیں,VB
نہایت,ADV
فونٹ,NN
لائبریری,NN
تازہ,ADJ
چلی,VB
تقسیم,NN
برا,ADJ
موسم,NN
کیو,PN
دشمن,NN
سطح,NN
رضی,NN
اتفاق,NN
انتخابات,NN
دھاگہ,NN
وطن,NN
شدید,ADJ
فیس,NN
آف,PN
جانتا,VB
طریقے,NN
حملوں,NN
ساری,ADJ
کپ,NN
کارروائی,NN
مقابلہ,NN
حضرات,NN
تصور,NN
کتنا,AKP
دعوت,NN
خواہش,NN
طلب,NN
ثبوت,NN
لوڈ,NN
واقع,ADJ
مراد,NN
عرصے,NN
ایف,PN
تیز,ADJ
لکھتے,VB
اہلکار,NN
آسٹریلیا,PN
نبی,PN
روزہ,NN
حضور,NN
جنوبی,PN
دراصل,ADV
پوچھ,VB
سیریز,NN
ذات,NN
قابل,ADJ
چاہتا,VB
بلوچستان,NN
عزت,NN
کامیابی,NN
لگایا,VB
تفصیل,NN
خانہ,NN
جسم,NN
دفتر,NN
بولا,VB
اسمبلی,NN
دماغ,NN
پابندی,NN
تبصرے,NN
اﷲ,PN
ہفتے,NN
صورتحال,NN
راستے,NN
ھ,CA
طاقت,NN
خوف,NN
اہمیت,NN
اخبار,NN
متحدہ,NN
غائب,ADJ
مولانا,PN
ملتی,VB
جنت,NN
مشرف,NN
معذرت,NN
استاد,NN
مضمون,NN
کرکٹ,PN
شیخ,NN
پہنچے,VB
فرماتے,VB
مشورہ,NN
کراچی,NN
موبائل,NN
خاندان,NN
بنی,VB
پیار,NN
نبیل,PN
آر,PN
راستہ,NN
کافی,ADV
شخصیت,NN
مالک,NN
آن,PN
منتخب,ADJ
ربط,NN
حساب,NN
دیکھی,VB
ظلم,NN
ایل,PN
بلے,NN
ایچ,PN
لنکا,PN
تنقید,NN
؛,PM
فیصلے,NN
طے,NN
تنظیم,NN
بننے,VB
آبادی,NN
یوسف,PN
الیکشن,NN
دیکھنا,VB
پنجاب,NN
روشن,ADJ
اُسے,PP
فرما,VB
آنکھ,NN
نشانہ,NN
چلتا,VB
لکھنا,VB
فتح,NN
گروپ,NN
پیسے,NN
چیزیں,NN
روح,NN
بیٹا,NN
پڑے,VB
چکر,NN
متاثر,ADJ
بال,NN
اشعار,NN
لکھے,VB
اسرائیل,PN
ہدایت,NN
کمپنی,NN
وضاحت,NN
بارش,NN
انتہائی,ADJ
رقم,NN
ٹیگ,ADJ
آپریشن,NN
غریب,ADJ
محمد,ADJ
افریقہ,PN
بنائی,VB
اراکین,NN
امیر,ADJ
بورڈ,NN
ریاست,NN
مرضی,NN
معاملات,NN
آسانی,NN
اداروں,NN
امریکی,PN
ذرائع,NN
جدید,ADJ
گاؤں,NN
بہرحال,ADV
کتابوں,NN
ماضی,NN
تسلیم,NN
گرفتار,ADJ
تعبیر,NN
رابطہ,NN
مطالعہ,NN
متفق,ADJ
ابو,NN
لینڈ,PN
سالگرہ,NN
انٹرویو,NN
نبی,NN
قیام,NN
غلام,NN
پڑا,AA
کتابیں,NN
عربی,ADJ
تجربہ,NN
نتیجے,NN
کھول,VB
اقبال,NN
بازی,NN
پسندوں,NN
مستقبل,NN
فن,NN
ارادہ,NN
منظور,ADJ
والد,NN
الاقوامی,NN
عورتوں,NN
جملہ,NN
علاج,NN
عزیز,PN
ہوگئے,VB
اجلاس,NN
سمجھتا,VB
حصے,NN
فہرست,NN
کائنات,NN
گیند,NN
بندی,NN
حمایت,NN
ملکی,ADJ
برابر,ADJ
باز,NN
سکول,NN
بازار,NN
نیک,ADJ
قیمت,NN
سائنس,NN
بیٹے,NN
ہوگی,TA
سمجھنے,VB
منتقل,ADJ
شہزاد,NN
ہمت,NN
سوالات,NN
بچہ,NN
مجبور,ADJ
اعتراض,NN
نقل,NN
بھارتی,ADJ
مغربی,ADJ
پاکستانی,NN
مسلسل,ADJ
خاتون,NN
بھیج,VB
لحاظ,NN
تنگ,ADJ
فرض,NN
جھوٹ,NN
رو,PN
لگانے,VB
کمیٹی,NN
تباہ,ADJ
چیک,NN
باب,NN
مذاکرات,NN
ترجمان,NN
نگار,NN
مختصر,ADJ
مان,VB
مذاق,NN
احباب,NN
اعلیٰ,ADJ
پی,CA
اصلاح,NN
غصہ,NN
وزن,NN
دھماکے,NN
کالج,NN
پھول,NN
حوصلہ,NN
بری,ADJ
بنانا,VB
ریکارڈ,NN
قابل,NN
اصول,NN
سامنا,NN
مزے,NN
ڈاکٹر,PN
سعودی,PN
طویل,ADJ
زائد,ADJ
لینا,VB
خاموش,ADJ
ڈالر,NN
رخ,NN
نیند,NN
کارکردگی,NN
اعتبار,NN
مخالف,ADJ
لائن,NN
جہاد,NN
ھے,NN
احتجاج,NN
کھلاڑیوں,NN
قیامت,NN
آہستہ,ADJ
واپسی,NN
آرام,NN
پناہ,NN
امت,NN
خطاب,NN
بندے,NN
عالم,ADJ
رحمت,NN
رشتہ,NN
بل,NN
دلچسپی,NN
جنرل,PN
آمد,NN
انڈیا,PN
سنت,NN
بالا,NN
رہنما,NN
ٹیم,PN
يہ,CA
انٹرنیٹ,NN
اقبال,PN
منزل,NN
مر,VB
مضامین,NN
اوور,NN
مخصوص,ADJ
دیکھے,VB
عظیم,ADJ
تعمیر,NN
آسمان,NN
صوبہ,NN
پریس,NN
مطالبہ,NN
خیالات,NN
انتہائی,ADV
پڑتا,AA
سعید,PN
پرانی,ADJ
عنوان,NN
بطور,ADV
سنی,VB
تصدیق,NN
مشتمل,ADJ
چہرے,NN
رفتار,NN
تکلیف,NN
قیادت,NN
محدود,ADJ
حرف,NN
کشمیر,NN
بول,VB
جان,VB
بیٹی,NN
گرم,ADJ
عادت,NN
لائن,PN
صبر,NN
تعالی,NN
سالہ,ADJ
حیات,NN
دستیاب,ADJ
چھوٹا,ADJ
شریک,ADJ
امین,PN
تجویز,NN
پرانے,ADJ
سوات,NN
ہوسکتا,VB
شیر,NN
حقیقی,ADJ
سپریم,PN
سامان,NN
جنرل,ADJ
خانے,NN
کھانے,VB
اطلاع,NN
کھل,VB
مرزا,PN
ذریعہ,NN
تعلقات,NN
دیکھتا,VB
حوالہ,NN
خصوصی,ADJ
کرام,PN
سندھ,NN
برداشت,NN
پیغامات,NN
کالم,NN
اچانک,ADV
آؤٹ,NN
نسل,NN
تشدد,NN
بم,NN
نامی,PN
عشق,PN
کنٹرول,NN
ہيں,AA
سری,PN
سمندر,NN
یونیورسٹی,NN
اشارہ,NN
بک,NN
شمالی,ADJ
ناکام,ADJ
دریا,NN
عوامی,ADJ
مضبوط,ADJ
کیلئے,AA
جتنا,Q
بابا,NN
جتنی,Q
کمرے,NN
نکلا,VB
وزیراعظم,NN
مقرر,ADJ
اطلاعات,NN
کہتی,VB
واحد,ADJ
شرکت,NN
ماحول,NN
مصر,PN
ابتدائی,ADJ
قانونی,ADJ
نکلے,VB
قلم,NN
کمزور,ADJ
سسٹم,NN
کان,NN
لوٹ,VB
امداد,NN
حرام,NN
عبادت,NN
جرم,NN
سنگھ,PN
علاقہ,NN
برطانیہ,PN
علمی,ADJ
س,CA
راست,NN
ِ,CA
عشق,NN
گروہ,NN
اسکور,NN
آئندہ,ADJ
کروا,VB
قید,NN
چیزوں,NN
انتظامیہ,NN
دودھ,NN
بٹ,VB
ہوگئے,AA
نوٹ,NN
امی,NN
دلچسپ,ADJ
جے,PN
داد,NN
کھڑا,ADJ
x,EXP
بچپن,NN
خرچ,NN
جہاز,NN
تربیت,NN
پور,PN
پریشان,ADJ
پڑھی,VB
داخلہ,NN
یار,NN
کانفرنس,NN
خفیہ,ADJ
ترتیب,NN
پہلو,NN
معاف,NN
رضا,PN
شہید,NN
ھے,VB
جائزہ,NN
ہوگئی,AA
پکڑ,VB
کیں,VB
تھوڑا,Q
اوقات,NN
مثلاً,ADV
جمہوریت,NN
براہ,NN
سیٹ,NN
صفحات,NN
نتائج,NN
پروفیسر,NN
بد,ADJ
بلا,ADV
گھروں,NN
ں,VB
طالب,NN
راز,NN
چلتے,VB
درکار,ADJ
ہسپتال,NN
بادشاہ,NN
سرحد,NN
لگتے,AA
دفاع,NN
اقوام,NN
اکثریت,NN
نوجوان,ADJ
فیصل,NN
آیات,NN
پیپلز,PN
ورلڈ,PN
وکٹ,NN
دلیل,NN
دولت,NN
چاہ,VB
انتہا,NN
امر,NN
جیت,VB
توبہ,NN
ورژن,NN
بوقت,ADV
خارجہ,NN
کمیشن,NN
والدین,NN
فائرنگ,NN
اینڈ,PN
کیجئے,VB
تیاری,NN
عہد,NN
مکان,NN
عملی,ADJ
فیض,NN
مسئلے,NN
مہینے,NN
لڑائی,NN
کررہے,VB
فاتح,NN
پرویز,PN
حفاظت,NN
ہا,PN
پاؤں,NN
مصنف,NN
فٹ,NN
نسبت,NN
عائد,ADJ
اسکول,NN
آئین,NN
قوت,NN
فارسی,PN
کلاس,NN
مہم,NN
چینی,NN
وعدہ,NN
کاپی,NN
ملتے,VB
پاکستانی,PN
اقتدار,NN
انسانوں,NN
بھٹو,NN
سننے,VB
نہيں,NEG
اک,PN
رواں,ADJ
ناک,NN
سالوں,NN
شاہد,NN
دیوار,NN
جذبات,NN
ذرا,ADJ
سونے,VB
شگفتہ,NN
فوراً,ADV
جاں,NN
جماعتوں,NN
تینوں,OR
بوجھ,NN
چاہیے,VB
سادہ,ADJ
خاک,NN
کرسکتے,VB
ساتھی,NN
بھیجا,VB
قیصرانی,NN
خرم,NN
مزہ,NN
خطرہ,NN
واقعے,NN
حاضری,NN
لطف,NN
سخن,NN
دروازے,NN
شان,NN
اصل,NN
فوری,ADJ
شکایت,NN
الحال,NN
ویسٹ,PN
محب,NN
معمولی,ADJ
پتھر,NN
چلنے,VB
کیس,NN
حیران,ADJ
اہلِ,NN
سہولت,NN
تھریڈ,NN
ایجنسی,NN
حرکت,NN
یقیناً,ADV
سڑک,NN
معروف,ADJ
لگائے,VB
فرد,NN
نفرت,NN
قوانین,NN
طبیعت,NN
تخلیق,NN
ناول,NN
عبد,NN
اولاد,NN
ہوگئی,VB
سعود,PN
روک,VB
روایات,NN
شور,NN
رمضان,PN
موسیقی,NN
جسٹس,PN
ارکان,NN
بنگلہ,NN
طرز,NN
موجودگی,NN
شاندار,ADJ
اہلکاروں,NN
علامہ,NN
فرحت,NN
بھاگ,VB
ویڈیو,NN
نصیب,NN
ناراض,ADJ
مفت,ADJ
نشان,NN
پڑتی,AA
بچا,VB
ادبی,ADJ
انجام,NN
وفاقی,ADJ
بندہ,NN
درخت,NN
لمبی,ADJ
ڈر,NN
محروم,ADJ
پالیسی,NN
سمجھے,VB
گذشتہ,ADJ
تشریف,NN
غرض,NN
کونسل,NN
دوستی,NN
باری,NN
برطانوی,ADJ
تہذیب,NN
مخالفت,NN
بنتا,VB
قبائلی,ADJ
ص,CA
احادیث,NN
باقاعدہ,ADJ
پائی,VB
پڑھتے,VB
عذاب,NN
مرکز,NN
بچ,VB
علماء,NN
صدی,NN
سماعت,NN
ماہرین,NN
جاننے,VB
آپکو,PN
گوشت,NN
گلی,NN
حکیم,NN
افغانستان,PN
اننگز,NN
پینے,VB
مقدمہ,NN
دار,ADJ
باجو,NN
ہوجاتا,VB
رحم,NN
متعلقہ,ADJ
ھیں,NN
عدم,NN
مبنی,ADJ
گوگل,NN
فہیم,NN
جاسکتا,AA
آمین,PN
چپ,NN
مرکزی,ADJ
آگاہ,ADJ
عباس,PN
لگائی,VB
شوہر,NN
کرلیا,VB
منصوبہ,NN
تاریخی,ADJ
انتظام,NN
فرمائیں,VB
قسمت,NN
مرحوم,ADJ
لئیے,ADV
وفا,PN
صوبے,NN
راجہ,NN
ترین,NN
گناہ,NN
منع,NN
بیک,PN
حامل,ADJ
پیٹ,PN
گزار,VB
ارشاد,NN
سکی,AA
سفید,ADJ
یورپ,PN
مند,ADJ
ہین,PN
پہچان,NN
لڑکے,NN
مبارکباد,NN
سکون,NN
معیار,NN
م,PN
نستعلیق,PN
موقف,NN
بندہ,ADJ
بلوچ,NN
پڑا,VB
کھیلنے,VB
شریعت,NN
دیکھا,AA
مہمان,NN
تیزی,NN
حکمت,NN
اقدامات,NN
دکھا,VB
تحقیقات,NN
پیج,NN
بھرپور,ADJ
نگاہ,NN
اپیا,PN
پنجاب,PN
ملکوں,NN
ملوث,ADJ
عمارت,NN
بھاری,ADJ
باغ,NN
مراسلے,NN
ٹوٹ,VB
روانہ,ADJ
حکمران,NN
توقع,NN
احترام,NN
مارا,VB
رضی,ADJ
حقائق,NN
انگلش,PN
آمین,NN
مظاہرہ,NN
جیل,NN
سید,PN
دعائیں,NN
سوار,ADJ
شرط,NN
بحر,NN
یقینا,ADV
کافر,NN
وارث,NN
اعتماد,NN
ذرا,PN
افسر,NN
وکٹیں,NN
گیلانی,PN
ون,PN
کپڑے,NN
مسلح,ADJ
ونڈوز,PN
بولی,NN
ایلی,PN
کردی,VB
آرہا,VB
دریافت,NN
الزامات,NN
مذکورہ,ADJ
نظریہ,NN
بورڈ,PN
بیٹھا,VB
مردوں,NN
ضلع,NN
افواج,NN
بیت,NN
سیلاب,NN
پڑتا,VB
ہٹ,VB
تعاون,NN
حالیہ,ADJ
سیر,NN
دعویٰ,NN
شہری,NN
چہرہ,NN
شہروں,NN
اگلی,ADJ
سبق,NN
اختتام,NN
بولنے,VB
مستقل,ADJ
بڑھا,VB
مفید,ADJ
اعمال,NN
نبی,ADJ
فارغ,ADJ
فورسز,NN
مرنے,VB
اُن,PD
قبضہ,NN
بھائیوں,NN
آپ,NN
ہندو,PN
لالہ,NN
/,PM
آدم,NN
جتنے,Q
روٹی,NN
پڑھے,VB
آپکے,G
وکیل,NN
سورج,PN
کارڈ,NN
لندن,PN
چوری,NN
کیفیت,NN
احمد,ADJ
انعام,NN
امور,NN
علیحدہ,ADJ
اول,NN
لینا,AA
متعدد,ADJ
شراب,NN
آگیا,VB
معاشرہ,NN
مہیا,ADJ
بیماری,NN
کاروبار,NN
ٹیلی,ADJ
لہٰذا,ADV
پڑھنا,VB
معافی,NN
مزاح,NN
انسانیت,NN
آل,PN
بخش,ADJ
فرصت,NN
خاموشی,NN
کررہا,VB
مقامات,NN
ملیں,VB
مشرقی,ADJ
تیل,NN
کھایا,VB
حصول,NN
ہلاکت,NN
انڈیز,PN
دلی,NN
اٹھ,VB
تشکیل,NN
اٹھایا,VB
کیلئے,NN
قدرت,NN
صحافی,NN
بھئی,ADJ
نواز,NN
صحابہ,NN
جیہ,NN
پہنچنے,VB
حسن,PN
حجاب,NN
امتحان,NN
تحفظ,NN
کال,NN
مالی,ADJ
ترکی,PN
مارے,VB
انقلاب,NN
اختر,PN
ورڈ,PN
فخر,NN
سمت,NN
لباس,NN
قابو,NN
نیم,ADJ
اعجاز,PN
کاموں,NN
حکومتی,ADJ
امکان,NN
صلاحیت,NN
شہریوں,NN
دہلی,PN
رہنمائی,NN
مبتلا,ADJ
مجموعی,ADJ
افغان,PN
شیئر,NN
نعت,NN
کلک,NN
اتحاد,NN
مثبت,ADJ
جوش,NN
پشاور,NN
تقریب,NN
مٹی,NN
بناتے,VB
دا,PN
تقریر,NN
مشکلات,NN
ڈے,PN
کوئٹہ,NN
تعلیمی,ADJ
اساتذہ,NN
خیریت,NN
گزرے,VB
نمایاں,ADJ
آپکی,G
مقدمے,NN
نمائش,NN
لڑکیوں,NN
کردیں,VB
واقف,ADJ
حیدر,PN
رد,NN
مدت,NN
توڑ,VB
سازش,NN
مندرجہ,ADJ
دورہ,NN
ہدف,NN
معمول,NN
تجزیہ,NN
ہنسی,NN
ذہنی,ADJ
وسیع,ADJ
بھیا,SC
سماجی,ADJ
عظیم,NN
ﷺ,PN
اتر,VB
بلا,VB
ہوگیا,AA
ٹوئنٹی,PN
ی,PN
قصور,NN
لکھیں,VB
خبریں,NN
دلوں,NN
خطرناک,ADJ
فروخت,NN
دلائل,NN
متن,NN
ہوش,NN
جاوید,PN
چوہدری,NN
فانٹ,NN
عدد,NN
بتائے,VB
بچی,NN
اِس,PP
نفس,NN
کاری,NN
نیوزی,PN
اعلی,ADJ
کپتان,NN
قبر,NN
معاشی,ADJ
عزیز,NN
ماہر,NN
پیاری,ADJ
ہتھیار,NN
دروازہ,NN
احسان,NN
شعور,NN
پڑھیں,VB
روحانی,ADJ
چیف,PN
زین,NN
فضا,NN
فعل,NN
ڈالی,VB
انشاءاللہ,NN
پسندی,NN
زبانوں,NN
جانور,NN
قصہ,NN
آنسو,NN
دباؤ,NN
سیدہ,ADJ
ایڈیٹر,NN
جات,NN
برقرار,ADJ
گول,NN
جنوبی,ADJ
تفصیلات,NN
ہستی,NN
سنگ,NN
ہائی,PN
سانس,NN
فطرت,NN
ترک,NN
بولے,VB
لازمی,ADJ
بتانا,VB
علی,ADJ
سیاہ,ADJ
بنائیں,VB
فارم,NN
عسکری,ADJ
سکوں,NN
ٹاپ,NN
مجید,NN
نافذ,ADJ
سنجیدہ,ADJ
یافتہ,ADJ
بزرگ,NN
انگلینڈ,PN
ہزاروں,Q
اخلاقی,ADJ
برسوں,NN
تقریبا,ADV
وفات,NN
بھری,ADJ
ہوجاتی,VB
تعالٰی,NN
لاکھوں,Q
ہوٹل,NN
محسن,PN
بہتری,NN
پل,NN
شہادت,NN
پار,NN
چاروں,OR
اوباما,PN
خاصی,Q
منصوبے,NN
شیعہ,NN
کنارے,NN
ڈاؤن,PN
نیٹو,PN
اوہ,INT
پیارے,NN
ساز,NN
سرخ,ADJ
بنتی,VB
قدیم,ADJ
سیکھنے,VB
قربانی,NN
موڈ,NN
بہنا,VB
محل,NN
دال,NN
فہمی,NN
سرمایہ,NN
مذمت,NN
جوان,ADJ
کھڑی,ADJ
نیوز,PN
امیدوار,NN
نوعیت,NN
خدمات,NN
شیطان,NN
آرہی,VB
آپکا,G
تعلیمات,NN
گولی,NN
دامن,NN
نستعلیق,NN
